"","Protein","Gene","Protein_Description","aNoGlu_PISA_1","aNoGlu_PISA_2","aNoGlu_PISA_3","aNoGlu_PISA_4","aNoGlu_PISA_5","bGlu_PISA_1","bGlu_PISA_2","bGlu_PISA_3","bGlu_PISA_4","bGlu_PISA_5","cNoGlu_PROT_1","cNoGlu_PROT_2","cNoGlu_PROT_3","dGlu_PROT_1","dGlu_PROT_2","dGlu_PROT_3","log_PISA","log_PROT","log_adj_p_PISA","log_adj_p_PROT","significant_PISA","significant_PROT","sig_PISA","sig_PROT","sig_all"
"11","sp|A3KMH1|VWA8_HUMAN","VWA8","von Willebrand factor A domain-containing protein 8",230994.972000527,276027.822542831,248879.853849491,198776.504613815,207940.907219593,293779.642007599,327783.888327821,275219.943147845,244059.121585904,251211.665280023,717536.435097168,719023.458451993,727220.349159554,635152.2603,622794.356011879,626390.919727857,-0.259835739910747,0.199496570012014,0.834522222405616,2.78668267532538,"not significant","not significant",0,0,"0"
"12","sp|A4D1P6|WDR91_HUMAN","WDR91","WD repeat-containing protein 91",82796.1159636751,102712.909068173,93029.1287359219,89648.1374990421,90995.5550417695,86173.6997274841,89212.1813509172,89217.1613613799,103739.954998881,85718.571380765,93612.2311038637,95204.6575505724,101340.874912946,97936.063,98345.3816759354,96759.1384717328,0.0161776722923719,-0.0142629464253302,0.0492477322737452,0.105721987782802,"not significant","not significant",0,0,"0"
"13","sp|A4D1S0|KLRG2_HUMAN","KLRG2","Killer cell lectin-like receptor subfamily G member 2",137191.287601622,128849.362301373,144801.716836993,137196.457268541,148507.127117147,148086.034548667,137061.981218924,157848.673411823,172585.049286258,167955.319548933,89556.6711978497,85689.5959145392,85689.5105603358,76795.5715,71806.3049829438,76996.56467093,-0.169782979196774,0.209937670884081,0.905674245426149,1.64036784531134,"not significant","not significant",0,0,"0"
"14","sp|A4D1U4|DEN11_HUMAN","DENND11","DENN domain-containing protein 11",91986.3198001536,89340.1800120273,92938.9042485991,73036.7401350619,67470.7158359656,95155.6800966115,91059.338753066,88297.4893403934,85918.4879880026,74022.0114367355,140115.943107945,135935.424923248,147466.744119318,133886.6948,136404.54323011,132672.088912452,-0.0668786402114513,0.0717751217624731,0.163550766474697,0.675060737547752,"not significant","not significant",0,0,"0"
"15","sp|A5PLN9|TPC13_HUMAN","TRAPPC13","Trafficking protein particle complex subunit 13",16200.5941695679,13699.8165395231,15707.2671427521,13060.3538223076,15919.4739243546,20923.5088087309,24392.9407519133,21989.8943803904,17692.7850727336,11873.2171771354,29115.3625858811,21304.2062589278,28043.989432497,23340.9209,22711.6405517312,23812.0350533534,-0.37715090324817,0.167461199188852,0.716769021983093,0.37635027685727,"not significant","not significant",0,0,"0"
"16","sp|A5YKK6|CNOT1_HUMAN","CNOT1","CCR4-NOT transcription complex subunit 1",1156792.29629389,1361088.99779481,1183038.75587729,883765.731363852,911536.147834672,1215566.82478168,1364073.45216992,1228006.20558832,988201.303575259,1038261.78366308,2347493.4536606,2394615.81423931,2391624.26572975,2512494.403,2537920.03393071,2499647.9202913,-0.0860722224041344,-0.0818312321265438,0.157603891372274,1.9215301429388,"not significant","not significant",0,0,"0"
"17","sp|A6NDG6|PGP_HUMAN","PGP","Glycerol-3-phosphate phosphatase",606488.667063487,592972.342186701,584957.507836154,624352.273166309,607961.831403559,992055.019538558,986754.727904288,1002021.13006909,1054341.02690816,958566.905178535,725154.832718424,731805.978066721,690866.923355108,654342.9309,665634.082937173,670351.803016488,-0.727133531588831,0.109871492839109,4.53092412913065,1.28587065444231,"significant","not significant",1,0,"1"
"18","sp|A6NDU8|CE051_HUMAN","C5orf51","UPF0600 protein C5orf51",113913.54883436,133666.792126317,111001.251353851,113746.85011468,123988.497485093,124983.974540192,122733.046345062,139869.784982598,136203.457124764,119194.290348114,100682.044166763,85583.0966845122,92820.6807092113,90803.1677,101381.724157457,91179.126599403,-0.108704758762667,-0.021947743761306,0.547404131256349,0.0628112864842041,"not significant","not significant",0,0,"0"
"19","sp|A6NED2|RCCD1_HUMAN","RCCD1","RCC1 domain-containing protein 1",41085.8683017307,33699.4030472423,40776.9763145603,37353.4712368093,36473.1276628006,38218.9308041812,40856.8726247908,35599.8262033121,32999.1521728691,34195.5545381094,36323.6333761131,34251.2099233037,35717.7209902216,32384.4458,32720.8833965492,25403.8129750138,0.0584411166831833,0.231905247682985,0.208100347545039,0.749201318265965,"not significant","not significant",0,0,"0"
"20","sp|A6NHR9|SMHD1_HUMAN","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",347960.755374576,404584.061093344,345168.428265808,327604.846179506,326662.056097282,425575.172900403,419266.906681786,442493.905085252,412211.960390825,419771.47402832,1162038.34138543,1195357.03835794,1208244.360791,1065748.717,1080604.12430379,1078883.32810366,-0.274614617088481,0.144756139173331,1.9668018093402,1.98144200494498,"not significant","not significant",0,0,"0"
"21","sp|A6NIH7|U119B_HUMAN","UNC119B","Protein unc-119 homolog B",512971.04112496,522524.862247715,518302.024466822,571879.028683951,558697.550542713,461934.206454049,478335.38038513,470934.118682774,557757.032989547,553648.435499234,366534.480110242,372663.985065156,321919.69280217,382260.9783,393934.429539589,380047.036560783,0.0896692533855176,-0.123858625553081,0.433466512828337,0.668444531890168,"not significant","not significant",0,0,"0"
"22","sp|A6NKD9|CC85C_HUMAN","CCDC85C","Coiled-coil domain-containing protein 85C",135156.347019631,141249.334094245,150004.201975708,160082.969837321,168602.366717156,172545.305289721,184089.236827884,166734.668626947,220587.574370689,213344.092522278,121533.274421733,124422.660805118,115208.60571994,126589.7852,125938.338816589,127532.340225417,-0.342313848140931,-0.0735727004765435,1.3096167991919,0.801906842894164,"not significant","not significant",0,0,"0"
"23","sp|A8MPP1|D11L8_HUMAN","DDX11L8","Putative ATP-dependent RNA helicase DDX11-like protein 8",46520.1628843693,58357.7662399777,46981.833536165,40739.2890524137,43901.6160509714,44273.6115163323,53034.0017599906,55930.9707414177,53666.6259726735,42659.2436221996,77388.796502855,78576.9871293012,69019.9187530651,95609.3682,92711.4417272164,87964.092148663,-0.0775682034010275,-0.296323403942662,0.174040862034838,1.44762479849994,"not significant","not significant",0,0,"0"
"24","sp|A8MWD9|RUXGL_HUMAN","SNRPGP15","Putative small nuclear ribonucleoprotein G-like protein 15",804147.521781478,704915.446607174,804743.440563874,880992.004039783,877618.25749407,714544.725558181,712859.081631636,741431.148548913,772718.765355358,823055.490283765,437050.789808256,436869.785911076,420419.61857218,409971.8374,400754.055902908,411661.313934519,0.11338506630259,0.0825155036991831,0.551901073322512,1.24241439251416,"not significant","not significant",0,0,"0"
"25","sp|A8MXV4|NUD19_HUMAN","NUDT19","Nucleoside diphosphate-linked moiety X motif 19",212800.212829584,228125.252518916,218090.652524859,218900.470840966,218864.012063937,240359.65719878,224405.546248425,252340.69052525,230957.616826962,236480.241797481,245579.966219888,247841.43368834,240888.379042316,229227.7661,232620.139452612,214930.42439594,-0.111056528399226,0.117705437824808,1.33300850341727,1.13228143840302,"not significant","not significant",0,0,"0"
"26","sp|A9UHW6|MI4GD_HUMAN","MIF4GD","MIF4G domain-containing protein",132865.110654903,134510.672965131,132971.897467126,146355.372490215,129785.174859791,116412.914293501,116422.501704457,127157.832346329,120372.504943611,110137.997917849,105853.336618783,107213.057145935,89753.1407622401,112836.1543,107494.390693193,115491.483930883,0.196118605655941,-0.149238595011537,1.74708453525885,0.627911321632263,"not significant","not significant",0,0,"0"
"27","sp|B5ME19|EIFCL_HUMAN","EIF3CL","Eukaryotic translation initiation factor 3 subunit C-like protein",2125235.41098878,2179622.0192549,2110619.03794431,1684331.60705172,1669430.80991653,2169089.55068917,2353976.68004319,2110710.56762181,1750723.43172487,1943262.34412633,3710714.83233192,3699588.21681822,3829307.84847917,3983755.001,4027525.20162651,4096200.44448851,-0.0802096676200727,-0.107306604918969,0.197990619850885,1.6320708033331,"not significant","not significant",0,0,"0"
"28","sp|B7ZAP0|RBG10_HUMAN","RABGAP1L","Rab GTPase-activating protein 1-like, isoform 10",102103.750537861,103806.388539614,100157.510030984,102284.619833915,100378.272908398,83495.964622455,90764.2610259689,86795.2709287992,83487.227197246,87497.5949492031,72682.0948024205,70457.2297832063,74279.4387436651,72365.3672,74941.0053105535,73685.7216566186,0.235735756219955,-0.0235183082477019,3.28778578280213,0.273013083546182,"not significant","not significant",0,0,"0"
"29","sp|B7ZAQ6|GPHRA_HUMAN","GPR89A","Golgi pH regulator A",81247.1093812396,89046.5084936777,84015.1244157097,71525.4053025816,75508.5330044341,143227.99909321,142848.330807335,142005.127215728,118480.538614867,121481.823356777,180657.0139764,171317.259858406,198607.235397274,151958.126,151110.904413363,140219.610892863,-0.735108149694101,0.31270976337951,2.96185262038645,1.3262026736561,"significant","not significant",1,0,"1"
"30","sp|C9JLW8|MCRI1_HUMAN","MCRIP1","Mapk-regulated corepressor-interacting protein 1",242082.369763996,260043.349311765,251966.411282559,256799.052938275,292628.320290354,368673.286863439,222429.600410945,274130.017782503,276794.940668988,247151.407428181,234666.861322342,232591.769864125,269773.695241719,214847.168,229199.177383155,224926.552617117,-0.0918206009090086,0.139780133324569,0.174636434402689,0.614788928003949,"not significant","not significant",0,0,"0"
"31","sp|E9PRG8|CK098_HUMAN","C11orf98","Uncharacterized protein C11orf98",87169.4370624933,85503.9450133724,83217.7916799595,78143.6510740333,89010.3459275331,59193.2751514882,68030.9238105313,63512.7069249138,60414.0528578954,71414.3264178237,69329.0556571717,69471.7188924922,61941.4242312746,81135.3662,92772.1103592122,88678.3031701629,0.391220533314216,-0.387444866546766,2.55093499580027,1.51522196113119,"not significant","not significant",0,0,"0"
"32","sp|L0R6Q1|S35U4_HUMAN","SLC35A4","SLC35A4 upstream open reading frame protein",193571.354712833,233405.221786215,201796.505862247,196525.335819736,201060.584414125,176056.691060173,161670.577459672,169366.596726668,151060.363758473,155846.135417784,156745.4386684,152231.585667116,172493.07442024,198471.4719,172011.60767982,174961.579560719,0.334434103458654,-0.179986624375526,2.01806420784231,0.719296758446551,"not significant","not significant",0,0,"0"
"33","sp|O00115|DNS2A_HUMAN","DNASE2","Deoxyribonuclease-2-alpha",108330.133544342,92722.8072999927,106680.181258173,121044.786755214,116853.139957878,94924.5004897439,103432.991233128,95981.0635273367,108187.389711688,124305.806527639,58591.7127200101,53148.3145144448,52134.2042349422,47933.0786,47551.5936265241,48174.6822197392,0.050583444778103,0.189937076877738,0.133539120557104,1.1429100759243,"not significant","not significant",0,0,"0"
"34","sp|O00116|ADAS_HUMAN","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",835924.259088491,924862.179093642,877675.069626573,806662.056111545,786685.923820206,925788.368158412,975139.218515004,937580.736065843,874970.920710593,866303.601196886,1455011.45763391,1400254.29930282,1425841.29656579,1529245.706,1488185.44242134,1486785.65791312,-0.114004512919548,-0.0732923598236323,0.808463058043494,1.19285528359251,"not significant","not significant",0,0,"0"
"35","sp|O00148|DX39A_HUMAN","DDX39A","ATP-dependent RNA helicase DDX39A",348810.765690391,422398.366169154,363107.422724559,328475.054569894,324055.740315803,326112.51368403,339653.533735502,363806.523918403,324398.02110132,318521.420267789,430876.668638072,401785.831485568,380188.297637346,403560.2515,423213.833433172,412442.955877953,0.0954170690483718,-0.0310268040676614,0.365933244874173,0.154293847098668,"not significant","not significant",0,0,"0"
"36","sp|O00151|PDLI1_HUMAN","PDLIM1","PDZ and LIM domain protein 1",4898314.45429613,5000935.22863381,5282737.33286281,6128914.3960648,6353255.68890394,5578117.49081297,5832566.31739782,5744397.78536007,7447498.00912622,6994981.42404102,2988849.07767722,3017179.83324868,2941699.14607444,2655622.646,2646111.29457574,2570655.51380973,-0.191795236035763,0.184719816187096,0.561441091248482,2.25512599589883,"not significant","not significant",0,0,"0"
"37","sp|O00159|MYO1C_HUMAN","MYO1C","Unconventional myosin-Ic",238623.833213984,256323.007913882,247016.384197654,216875.222721899,208697.474834727,253503.148724264,311239.191650917,265394.313759662,256690.385976389,264728.338226438,684014.858537967,675102.107300961,652476.878511284,661171.3379,678455.770066232,686316.893573929,-0.21115368613018,-0.0102552538598572,1.04319727395381,0.105721987782802,"not significant","not significant",0,0,"0"
"38","sp|O00161|SNP23_HUMAN","SNAP23","Synaptosomal-associated protein 23",177169.497145708,178422.839639734,187018.055588146,204748.386532655,219190.847028842,182689.989158648,128947.612317639,142028.086923676,165155.54330037,162374.590787808,161318.747709971,154703.443257534,128688.094983382,182410.3362,175829.521793736,221489.769845798,0.30715957288381,-0.382514444341009,1.18706943771718,0.906765203903772,"not significant","not significant",0,0,"0"
"39","sp|O00165|HAX1_HUMAN","HAX1","HCLS1-associated protein X-1",413157.304893012,426885.098397312,422865.679074816,393182.431678773,373688.982148893,397176.864266477,412271.745341788,426343.921694338,406543.930588464,381076.523996576,508017.636829668,505357.538858531,457397.536013914,490396.1006,487947.703476849,490250.501334289,0.00453220045157347,0.00213840361555633,0.0199814734236399,0.00962138815487826,"not significant","not significant",0,0,"0"
"40","sp|O00170|AIP_HUMAN","AIP","AH receptor-interacting protein",789802.60531319,775667.201634074,787843.661744646,872473.444568989,873914.230898382,799601.485948214,807972.117953075,812690.732552862,918887.470363266,896204.241915256,618667.824114399,612762.923119106,604347.97619816,545557.6714,524110.65900157,541118.337890868,-0.046964510566142,0.188626736262547,0.2292656313031,2.20302597030142,"not significant","not significant",0,0,"0"
"41","sp|O00178|GTPB1_HUMAN","GTPBP1","GTP-binding protein 1",320447.935193579,348702.453154567,337936.938091777,266435.397386095,292157.140695481,514965.729947794,513606.165462734,518366.206978388,446180.049221273,450632.814517957,643710.220900408,646180.322114693,646340.879857073,633344.9795,671395.613545398,659391.736632627,-0.642308018700907,-0.0206407345831405,2.84391873115747,0.249659542162308,"significant","not significant",1,0,"1"
"42","sp|O00186|STXB3_HUMAN","STXBP3","Syntaxin-binding protein 3",600698.650697927,603968.756587738,638898.576911224,580832.76084783,596072.382487713,627040.829608733,645171.844074259,597587.207107498,556063.636506313,584204.083113485,864954.605019516,910244.188691344,891292.856206271,892296.5212,903972.40211671,897831.678341499,0.00497770847799933,-0.0148609139019201,0.022442972218816,0.19531059176154,"not significant","not significant",0,0,"0"
"43","sp|O00193|SMAP_HUMAN","SMAP","Small acidic protein",1397086.79427218,1053418.81897455,1318922.56954515,1624884.81904061,2109466.76102809,3264323.18888422,3072741.97802835,3014169.35901869,4014910.52585944,3400959.40624167,974229.321514221,937858.485294566,1070638.87985389,706602.041,570254.694444625,526672.38590834,-1.15994417850762,0.725809068311784,2.70650613267993,1.69806171625092,"significant","significant",1,0,"1"
"44","sp|O00217|NDUS8_HUMAN","NDUFS8","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",476252.761727982,496935.688296411,477995.024818085,480210.97427775,458955.309395055,449230.066800479,406284.984765853,424142.596154007,414646.74784974,411161.947232236,496639.797465617,533899.541991721,493057.740402971,471503.1694,474316.88114085,467225.777944297,0.183081917014176,0.108673171423157,2.30540147767001,0.971261928084833,"not significant","not significant",0,0,"0"
"45","sp|O00221|IKBE_HUMAN","NFKBIE","NF-kappa-B inhibitor epsilon",65228.1148414267,68469.1721609825,62789.4565137793,55942.8448214902,63763.5429468165,63705.8187543642,54183.0275417299,53902.3290327658,38109.174287671,47084.9851993599,67580.3178875131,68223.654851533,75203.0005355442,59384.1016,63673.8780224612,70379.5662246389,0.299119995532737,0.12542283106904,0.970080254947895,0.491175932481288,"not significant","not significant",0,0,"0"
"46","sp|O00231|PSD11_HUMAN","PSMD11","26S proteasome non-ATPase regulatory subunit 11",2046577.70966813,2139812.05912252,2128988.55202552,1941216.56245432,1942727.12235157,2741741.70871577,2785349.64534612,2666007.44856725,2347863.12683152,2462043.74130189,3791582.01638534,3869067.32545257,4069756.04059734,3570026.901,3444302.84747342,3465485.39525005,-0.350371890629083,0.162639602248548,2.32389096632793,1.44529480305962,"not significant","not significant",0,0,"0"
"47","sp|O00232|PSD12_HUMAN","PSMD12","26S proteasome non-ATPase regulatory subunit 12",987786.480508441,1105404.79223813,997261.862871612,806343.38010828,829065.53903313,1130819.92568029,1238966.55141302,1128192.68693099,921279.289001611,950515.730896663,1841674.8373973,1820083.06461406,1842553.58414792,1758183.569,1800893.83631818,1792263.78392514,-0.184283901098767,0.0406615989219875,0.531687024815059,1.15913722424145,"not significant","not significant",0,0,"0"
"48","sp|O00233|PSMD9_HUMAN","PSMD9","26S proteasome non-ATPase regulatory subunit 9",565093.432007695,535700.338065809,563210.275622351,630492.738155378,622242.416456364,526277.642642766,560075.257407634,548589.663367894,644916.788462616,613620.95169411,358485.838972943,350221.982394947,326232.559270434,328760.8818,341140.09362479,335993.48844941,0.0115505702296388,0.0410687125617939,0.0340270647186132,0.289318752707877,"not significant","not significant",0,0,"0"
"49","sp|O00244|ATOX1_HUMAN","ATOX1","Copper transport protein ATOX1",269140.423868128,257472.912712756,248184.753182855,286008.615300738,321391.688481777,290734.456356834,199593.503274738,262756.003227792,251172.375018529,240542.746721008,209824.342112418,208963.843755859,202297.844559369,207492.2,175173.41876071,210558.356890062,0.151051803001171,0.0662162120918086,0.456503433270053,0.241131772755267,"not significant","not significant",0,0,"0"
"50","sp|O00264|PGRC1_HUMAN","PGRMC1","Membrane-associated progesterone receptor component 1",1895266.2567671,1128481.97872767,1537176.92819478,1545169.91418622,1603101.52507509,1588413.38250624,1188246.45132812,1413161.34700048,1139092.37490004,1343641.65079784,1016589.75216826,978325.763926836,998336.284718574,723832.4814,691503.424423627,772256.865428699,0.208341183865999,0.452369447597693,0.464897365050884,2.25512599589883,"not significant","not significant",0,0,"0"
"51","sp|O00268|TAF4_HUMAN","TAF4","Transcription initiation factor TFIID subunit 4",161439.506984719,168608.522298797,163396.182974819,175901.43549701,171723.053106012,171459.844373933,182504.476580311,175388.907321316,182821.887450175,172053.874781726,168403.260413934,174564.897134913,180628.429529882,169350.374,159025.42568694,162668.43750179,-0.0721963868642296,0.0926026936081626,0.908645862627559,0.819767358277302,"not significant","not significant",0,0,"0"
"52","sp|O00273|DFFA_HUMAN","DFFA","DNA fragmentation factor subunit alpha",4002268.88280102,3877355.15720152,4145073.90631409,5094314.22030214,5068614.35401461,4431552.84543084,4183320.11059021,4365028.37307984,5335812.07556518,5131259.39982549,1892360.42211547,1981949.28134285,2007409.5065051,1595403.618,1739585.43704908,1655448.92483524,-0.07964632484545,0.237071474859803,0.194293852543761,1.62885655619218,"not significant","not significant",0,0,"0"
"53","sp|O00287|RFXAP_HUMAN","RFXAP","Regulatory factor X-associated protein",197489.343842491,196270.805806617,205272.941128875,244625.077713519,232401.360646259,188270.586670962,191954.360915226,204388.813938266,226807.330363882,228496.680983225,105759.714794834,111433.624096004,100135.245897345,116740.9961,106612.76484468,114584.5958616,0.0492884342084234,-0.0907826248074938,0.145019705550428,0.521397689151892,"not significant","not significant",0,0,"0"
"54","sp|O00299|CLIC1_HUMAN","CLIC1","Chloride intracellular channel protein 1",794332.484460255,878426.067473301,808162.308212433,838660.289456707,866152.752414216,924729.937379231,885590.082212338,918391.789806955,1041859.43936452,931359.946197931,587764.137610223,562337.642752528,638654.706734872,596616.322,564348.653760922,562682.363438643,-0.167772829038019,0.0534923719578911,1.34118608388439,0.26432935502142,"not significant","not significant",0,0,"0"
"55","sp|O00303|EIF3F_HUMAN","EIF3F","Eukaryotic translation initiation factor 3 subunit F",567977.468943007,582759.782629583,591540.775071802,476647.14123334,473272.842300954,546964.682325427,615257.708675261,551186.336746394,459379.490177195,490708.91509789,798057.282077775,803616.287324222,790205.986762807,886181.2041,880835.972504265,868676.760630235,0.0154627955543883,-0.140038107037879,0.0312942899925985,2.43946733616139,"not significant","not significant",0,0,"0"
"56","sp|O00311|CDC7_HUMAN","CDC7","Cell division cycle 7-related protein kinase",45865.9919034259,47258.4682937293,44889.6652514797,34476.6536653304,34792.1297887126,46348.434967071,44747.8667617977,38492.5465482731,34302.6893723038,42514.4652034717,112986.33192919,121538.939607478,106846.17443216,123564.2568,125624.040610845,127179.976610052,0.00611623791779793,-0.140802632038602,0.00874479826383022,0.928675863395917,"not significant","not significant",0,0,"0"
"57","sp|O00330|ODPX_HUMAN","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial",230170.748213636,231632.3273631,228473.023285084,194250.149120078,208941.237614793,241089.516633906,260532.821706063,226774.73274125,212190.971501943,224345.408716833,257977.281784594,257781.191467879,275934.677435213,217667.9479,215613.763972514,209289.471589413,-0.0913372186633085,0.30108508637347,0.412632554704504,1.959637257388,"not significant","not significant",0,0,"0"
"58","sp|O00391|QSOX1_HUMAN","QSOX1","Sulfhydryl oxidase 1",118906.09828201,139186.650659692,129203.196379077,123573.722692463,105544.197997423,122115.450516676,131473.783597011,116913.909842615,110812.546891642,120696.299177799,179395.424779934,182634.075305185,183877.654320013,185871.957,204567.985337663,201308.739691274,0.0341070942933293,-0.116328983225754,0.108807007197925,0.904692004360344,"not significant","not significant",0,0,"0"
"59","sp|O00399|DCTN6_HUMAN","DCTN6","Dynactin subunit 6",106784.74446811,104812.549579176,106053.527876391,105671.208868647,95338.9033634275,104854.533365714,84875.480022943,91341.6363564968,82747.5940541429,78161.6857934382,68259.5264494069,68019.9629897115,60876.0645358485,62359.5015,65527.7620244755,75436.4832842971,0.230807587000316,-0.0444443693443165,1.19889887365511,0.118947128471527,"not significant","not significant",0,0,"0"
"60","sp|O00401|WASL_HUMAN","WASL","Neural Wiskott-Aldrich syndrome protein",266558.041721577,284336.798871045,271458.096596048,298065.449466663,305693.241848942,271436.240105953,260168.013255874,263737.393523301,276292.801000946,283950.179955546,250929.066552849,246875.462406567,256364.826530047,267191.4653,238357.858882359,259394.734305458,0.0731717307202513,-0.0204657152208291,0.561082717672737,0.104972438495205,"not significant","not significant",0,0,"0"
"61","sp|O00411|RPOM_HUMAN","POLRMT","DNA-directed RNA polymerase, mitochondrial",69749.5015166878,80207.9321423275,88008.8818523317,81246.3096279282,84106.6422798944,82478.21117846,105270.197968939,94416.7422946413,112298.190654266,92745.8564948591,158979.027463517,156177.594629673,170243.181769987,163306.2944,163863.789617175,155516.423287466,-0.272619043824616,0.00808702632025549,1.09897407179725,0.0426152634102732,"not significant","not significant",0,0,"0"
"62","sp|O00418|EF2K_HUMAN","EEF2K","Eukaryotic elongation factor 2 kinase",94375.361838393,102223.047009389,93097.876384461,88285.994077277,95304.2026910958,102952.794808789,107723.014719499,111560.71871535,108784.105153442,120749.923448209,88292.4363861988,85156.9493997944,97159.9998360513,72689.3618,78842.4058085443,76636.4612484914,-0.221354758328737,0.246113959144548,1.72577933375512,1.19016060496674,"not significant","not significant",0,0,"0"
