"","Protein","Gene","Protein_Description","aLOG_PISA_1","aLOG_PISA_2","aLOG_PISA_3","aLOG_PISA_4","bSTAT_PISA_1","bSTAT_PISA_2","bSTAT_PISA_3","bSTAT_PISA_4","cLOG_PROT_1","cLOG_PROT_2","cLOG_PROT_3","cLOG_PROT_4","dSTAT_PROT_1","dSTAT_PROT_2","dSTAT_PROT_3","dSTAT_PROT_4","log_prot","log_PISA","log_adj_p_PISA","log_adj_p_PROT","significant_PISA","significant_PROT","sig_PISA","sig_PROT","sig_all"
"17","sp|P00805|ASPG2_ECOLI","ansB","L-asparaginase 2",2638339.82331613,2352396.19290734,2387045.20322157,2596213.65008612,1659862.27616564,1807305.30299444,1667020.3964842,1586912.08503562,974834.773002266,984105.4115,964046.555745901,959804.016145373,1704030.3303441,1901762.31191911,1636696.06157046,1799437.00157441,0.858876043881651,-0.569474078761957,3.48064345065754,4.71900500992682,"not significant","not significant",0,0,"0"
"18","sp|P00811|AMPC_ECOLI","ampC","Beta-lactamase",1671974.18202524,1701024.51562728,1707754.04334509,1725052.4223562,1258626.3193507,1307056.23210041,1235790.02022897,1295905.76226602,891393.862781929,872877.8516,914735.768750971,868473.7649651,1358544.81096991,1447320.69329633,1417956.9467112,1414625.25602799,0.668502977836664,-0.417010414518349,4.72294286530275,5.95959976529586,"not significant","not significant",0,0,"0"
"19","sp|P00861|DCDA_ECOLI","lysA","Diaminopimelate decarboxylase",266295.496655737,193376.700808105,202384.75043184,235673.553170512,126528.511960569,138439.049187334,146426.333286246,174835.831940295,113756.872792956,122933.4883,122083.364907671,121281.554343938,221588.007528369,196758.564140015,207092.374251013,214120.686146874,0.806432252562387,-0.614816286866159,1.89439876345483,5.04883826056849,"not significant","not significant",0,0,"0"
"20","sp|P00864|CAPP_ECOLI","ppc","Phosphoenolpyruvate carboxylase",5283674.93397357,5362495.55613661,5274276.64324704,5615471.9302425,7023871.21431276,6662621.82450676,6829530.33223412,7289612.15399841,14900888.2571133,15013098.41,14850537.2178301,15360817.7558415,17672060.8899216,16802107.8176878,17822678.3943779,17410759.4041188,0.213342905311127,0.368632418601346,3.58619360121093,3.90561023271879,"not significant","not significant",0,0,"0"
"21","sp|P00883|ALDOA_RABIT","ALDOA","Fructose-bisphosphate aldolase A",192285.880164187,185224.832416279,234845.72947212,180170.880790555,244897.596267358,175836.597068972,234982.781335165,174813.546164836,300829.468798175,239554.6758,269264.538688948,368504.330154852,260747.406889351,237824.222014278,282751.172223829,234691.037074961,-0.213606870474918,0.0675725123239795,0.138383315552843,0.625279134027001,"not significant","not significant",0,0,"0"
"22","sp|P00887|AROH_ECOLI","aroH","Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",320928.023888022,376585.496251412,322940.293492762,364601.858024249,996551.172714379,1078852.85832463,1034279.30495683,1167954.24318786,2575087.06194605,2841461.535,2811886.23007413,2853805.67624573,818391.699762544,936581.135343506,797232.532684819,801270.587880636,-1.7245204182843,1.62687029014369,4.54090981535414,6.09205735637148,"significant","significant",1,2,"3"
"23","sp|P00888|AROF_ECOLI","aroF","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",451206.05503902,476405.513182429,469621.730688138,463062.313779714,450131.817199019,396260.353057016,425517.521448868,453474.781333258,928211.150736753,939116.6199,689329.416557308,885649.900122794,684426.964128589,418481.978945419,494573.374065719,550063.843222943,-0.680686663907577,-0.108614014732211,1.11800943002879,2.06687630600567,"not significant","not significant",0,0,"0"
"24","sp|P00895|TRPE_ECOLI","trpE","Anthranilate synthase component 1",600541.453197085,645159.404805985,612463.950352271,574241.353865483,659110.554904079,663694.988207849,629533.443333993,654053.312848905,955455.058767277,946826.5879,1012331.00353872,953395.661680128,412828.352403207,401809.730905406,372755.187391229,347283.955369739,-1.33365563569751,0.0996700969289901,1.26015703692199,6.17710511160774,"not significant","significant",0,2,"2"
"25","sp|P00903|PABA_ECOLI","pabA","Aminodeoxychorismate synthase component 2",60948.5078018554,79308.0907909794,75566.8105160186,67721.9861864038,104064.096941595,95214.4028396225,98774.8904777063,94272.2052869318,160712.321163958,160490.2622,120760.574433983,157070.973833704,74272.4158394629,71809.4140141472,62286.6641244852,63877.9040660712,-1.1377252454162,0.468471733239824,2.57713138270616,3.54104765558675,"not significant","significant",0,2,"2"
"26","sp|P00904|TRPGD_ECOLI","trpGD","Bifunctional protein TrpGD",430418.588868158,587226.412225328,532394.789511493,474153.208312992,864971.866361649,890432.867552937,849408.119742553,842759.990108183,1805795.16968641,1781679.913,1834725.17008842,1697850.77886148,829707.238624583,950954.619621754,1007882.86889462,646779.720347576,-1.05144122139096,0.768234182821272,3.57702336620065,4.20551909269086,"not significant","significant",0,2,"2"
"27","sp|P00909|TRPC_ECOLI","trpC","Tryptophan biosynthesis protein TrpCF",1549785.99579989,1344541.60649104,1343582.69038188,1526192.28997011,1396082.98022314,1388090.25533739,1314636.00800953,1356559.30155732,2421051.31111241,2451016.209,2385247.51249424,2459042.25197858,1106006.33170553,1005649.85277223,978785.449356293,1005894.95976749,-1.24608127532037,-0.0794193479694188,0.547934406031913,6.95343317210764,"not significant","significant",0,2,"2"
"28","sp|P00926|SDHD_ECOLI","dsdA","D-serine dehydratase",836656.631457738,816851.597125921,750949.425851976,810158.189702503,820775.905862633,804696.949489113,776653.648570865,801608.117544308,1574336.04430118,1573497.397,1647229.48148203,1602003.47549873,656249.654722895,582584.792968339,621680.144292356,566434.116137867,-1.3982668393272,-0.0048916933129275,0.0401045791709533,6.73193475500026,"not significant","significant",0,2,"2"
"29","sp|P00935|METB_ECOLI","metB","Cystathionine gamma-synthase",375226.998598107,414962.062184134,354028.642590877,386324.120516643,289859.678534533,252031.729171898,266641.557093444,295846.547872818,357476.188317546,343458.5605,297282.309194915,350758.564103339,594024.770635023,544470.92317548,598787.090610412,597349.818213611,0.791331256210449,-0.470806438901281,2.78790055967733,4.62079625412502,"not significant","not significant",0,0,"0"
"30","sp|P00944|XYLA_ECOLI","xylA","Xylose isomerase",402385.348336128,363452.340699385,379176.176305351,439094.12518774,253276.231669782,289506.160826425,245321.746081979,315478.384415679,445597.875659714,499312.834,460301.394900371,535371.813732863,987424.725580473,1032574.1431698,964969.534810082,1166670.11073178,1.09719001068325,-0.521476174423516,2.35622069621641,4.27660980181694,"not significant","significant",0,2,"2"
"31","sp|P00946|MANA_ECOLI","manA","Mannose-6-phosphate isomerase",10208067.9313657,9195687.29054,9775938.40401758,10462728.6196369,7032787.72821538,7155679.77697286,7278716.92625251,8241431.26427708,4974843.03672933,5171999.119,4976092.34690331,5242938.58879803,7741112.16371279,7989030.47800655,7928661.65939164,8273414.97765038,0.648859158763841,-0.41616373444718,2.7312709319972,5.77405837077605,"not significant","not significant",0,0,"0"
"32","sp|P00954|SYW_ECOLI","trpS","Tryptophan--tRNA ligase",3887191.03488732,3710978.5301672,3884315.51633695,3814726.73930994,4180827.40031553,4023671.67344249,3789712.86909128,3644409.09010738,6776490.88382239,6621291.024,6338328.7924613,6614268.38420092,3493445.97749048,3089361.51948045,3201455.70553336,3079826.24415945,-1.03447437403673,0.0318445847434871,0.241499737945287,6.02698017985971,"not significant","significant",0,2,"2"
"33","sp|P00956|SYI_ECOLI","ileS","Isoleucine--tRNA ligase",12064278.0876458,12097429.7882832,11555965.2638846,13289397.5865865,17792022.1540794,19688577.9478668,19061643.2478084,21592896.5701477,35159357.3909792,35823280.5,35836033.1091193,36191852.1756807,47218668.8899209,46973311.7779026,47496079.8755471,48637796.427367,0.412350265101567,0.672981605426542,3.24741673689771,6.19353881619491,"not significant","not significant",0,0,"0"
"34","sp|P00957|SYA_ECOLI","alaS","Alanine--tRNA ligase",16801675.8189454,15739224.9536675,15701389.9341755,16536410.3559365,14289886.9107194,14314940.0263785,14746618.0625418,15508179.658359,19765380.9596247,20104126.37,19776806.9436351,19939321.9005915,16941044.4699461,16499264.2148702,16474359.2654988,16814394.7616728,-0.254192833197878,-0.1382411972347,1.77934487844548,5.82243285594841,"not significant","not significant",0,0,"0"
"35","sp|P00959|SYM_ECOLI","metG","Methionine--tRNA ligase",5663907.40018209,5580508.50609912,5257716.12423559,5838826.53590625,7984972.67331822,8081573.17463736,8359439.57499632,8758982.33598085,15461060.9895615,15758804.17,15110952.9670506,15729406.4996239,6521376.10881908,6209622.60887005,5982212.56088308,6062774.51805356,-1.32472645762436,0.570838784809852,3.99354699806737,7.13528753091429,"not significant","significant",0,2,"2"
"36","sp|P00960|SYGA_ECOLI","glyQ","Glycine--tRNA ligase alpha subunit",1173972.61733378,1137826.50338846,1092460.74395636,1151725.34189313,2060008.81392811,2002256.46344919,2032289.01123279,2062730.80674345,3610606.75408262,3481564.958,3504128.62897394,3438580.53110068,1206547.83418411,1039309.47124034,1106577.61718518,1091934.73526481,-1.65896609617478,0.84032601226814,5.32397194306739,7.10759418948454,"not significant","significant",0,2,"2"
"37","sp|P00961|SYGB_ECOLI","glyS","Glycine--tRNA ligase beta subunit",31671474.937571,28499633.9038003,28348897.5113339,30601791.7888121,26669900.3527976,26979356.4940538,25924435.2461891,27334410.8523243,50730021.8460874,51642926.66,51931388.955872,51214944.2733294,18723155.5643453,18372837.0464925,16922789.3683368,17253370.4561767,-1.52786335345913,-0.156066232463199,1.69549300293124,7.47096314480987,"not significant","significant",0,2,"2"
"38","sp|P00962|SYQ_ECOLI","glnS","Glutamine--tRNA ligase",8997254.54666867,8514934.24895752,8234746.72310202,8485599.33329604,6973924.86182035,6486958.25173664,6903699.15312098,6503949.06145717,14174322.2518917,13679494.66,13986903.3947815,13765624.3979636,5042536.76137968,4419174.24146199,4380994.47355256,4388199.41421998,-1.60886333308713,-0.349450661281603,3.38528851616222,7.11044994228738,"not significant","significant",0,2,"2"
"39","sp|P00963|ASNA_ECOLI","asnA","Aspartate--ammonia ligase",561373.889012261,640783.34221497,582474.948723426,614953.923417707,1480443.59627198,1254422.17189104,1401168.0699862,1265591.34186452,2755832.38924813,2938317.515,2631184.27670308,2873608.70715485,654172.139449981,579561.990259505,595810.187642793,493312.765511054,-2.26939025900456,1.17060795276662,4.03218186365757,6.30014165733503,"significant","significant",1,2,"3"
"40","sp|P00968|CARB_ECOLI","carB","Carbamoyl-phosphate synthase large chain",21773239.686396,20633839.196182,20385734.9180909,21229483.3886391,12292473.8858752,12494641.9052421,11976105.9081989,13065179.9598242,24600265.462895,25158697.69,24706408.5390827,24943802.8584431,13442805.226605,13083278.9521859,12854761.3165759,12880437.5000598,-0.927636462655585,-0.753803932411137,4.75752588400318,7.44407726404116,"not significant","not significant",0,0,"0"
"41","sp|P02358|RS6_ECOLI","rpsF","30S ribosomal protein S6",22304375.6691727,24355197.1480215,24918792.4523849,23098747.7467079,17218649.2233244,15052711.0374904,14665833.0901733,15045284.5067751,17765584.0904167,18202507.27,16735689.7280355,18291538.8129529,10091383.0440634,10206011.7171611,9647723.59869058,9675577.89227807,-0.841469690678391,-0.611155284397144,3.55632213610617,5.59666600713049,"not significant","not significant",0,0,"0"
"42","sp|P02359|RS7_ECOLI","rpsG","30S ribosomal protein S7",1525769.7158263,1555207.09092613,1538495.86358991,1729445.1005749,11387161.7004166,10172318.8102374,12968044.6287064,13992223.4486774,25742644.306712,26944438.15,25693170.0527794,27248197.889298,4898861.89277832,4128798.76067155,4029631.33626124,4322715.80599098,-2.60349783404129,2.93398947709997,3.95225951348327,7.15361461124711,"significant","significant",1,2,"3"
"43","sp|P02916|MALF_ECOLI","malF","Maltose/maltodextrin transport system permease protein MalF",588073.305405208,481314.949668944,513674.088285604,560669.093803333,403904.414190673,413799.973440129,508021.771895223,578353.260319617,494246.657359007,508823.6194,531060.080767668,486012.912635038,617666.047188954,727442.222957192,643392.769548932,652264.921671746,0.386498834231697,-0.171030523627776,0.521405180135424,2.91559877619706,"not significant","not significant",0,0,"0"
"44","sp|P02918|PBPA_ECOLI","mrcA","Penicillin-binding protein 1A",594501.610110901,528680.394424803,545773.420896645,579060.082256686,522552.284681451,560082.444736231,545935.248264505,589609.717904115,1037064.06806609,1043593.374,983516.366935263,1090801.54230802,494970.232644538,472873.231013375,468394.09287269,470473.108213353,-1.12375398106991,-0.0192757443556608,0.117442283634402,5.96751619615835,"not significant","significant",0,2,"2"
"45","sp|P02919|PBPB_ECOLI","mrcB","Penicillin-binding protein 1B",160985080.251513,165686535.350145,149213475.656313,172437424.541183,110580723.626039,112607269.25949,108767215.397405,114377638.719189,55171373.857329,62735265.6,51669353.7045307,62455273.7115435,87664612.029317,111021083.28694,94049769.310378,104331795.555081,0.775064183950273,-0.538591694757896,3.58682741237551,3.23115706338827,"not significant","not significant",0,0,"0"
"46","sp|P02924|ARAF_ECOLI","araF","L-arabinose-binding periplasmic protein",6745776.73871012,6764885.51075632,6475418.07895963,6836534.09218625,4229054.24697656,4189342.72389146,3874941.62723767,4193058.43348245,4355513.72571541,4474015.007,4350231.97661387,4525939.82872626,2293485.35964127,2305908.36436692,2268097.07939082,2261547.70326089,-0.955679101020127,-0.70217372076066,4.76618484490748,7.11044994228738,"not significant","not significant",0,0,"0"
"47","sp|P02929|TONB_ECOLI","tonB","Protein TonB",403394.160376961,454439.68565172,462017.454172549,422408.72796159,426608.254625586,376244.599626513,394823.849985675,406751.474726951,377762.418282491,406309.9131,391343.197100481,416228.593129333,438871.503726511,404686.146655866,431852.016344826,449863.104120325,0.116306677050354,-0.118900748914068,0.919766162054968,1.34678914962825,"not significant","not significant",0,0,"0"
"48","sp|P02930|TOLC_ECOLI","tolC","Outer membrane protein TolC",1550600.61152354,1391976.38196809,1526496.95480437,1420456.27630381,1992587.33581796,2035836.18649872,1724886.15983236,1637761.50050357,1484958.99089327,1354648.881,1423935.12301432,1393737.33863766,1409169.78853003,1400291.84441034,1342762.2708331,1369393.30330232,-0.0350177874158852,0.3276309054788,1.71004583688208,0.472636105270694,"not significant","not significant",0,0,"0"
"49","sp|P02931|OMPF_ECOLI","ompF","Outer membrane porin F",113241.204433013,138290.0698,138208.775245727,108875.112979333,132120.090687463,129440.884875914,124023.904594753,119744.050055596,186083.464685252,177785.7148,129755.940474774,173133.113260026,209074.187291378,150478.733532492,177984.237052757,136960.902368694,0.0166505597282231,0.0192960223781905,0.0616893534641458,0.030432820914831,"not significant","not significant",0,0,"0"
"50","sp|P02943|LAMB_ECOLI","lamB","Maltoporin",669207.013647632,1193473.751332,1094106.52093894,669921.76860577,1360220.1054646,1111309.65431585,1175953.22342871,892042.943575341,1146870.88463107,1137508.438,1104051.27822158,1126083.49624182,647984.329020041,564875.897210694,505618.788409524,514448.668114253,-1.01563418922655,0.323880628767349,0.572415471066922,5.17952941481578,"not significant","significant",0,2,"2"
"51","sp|P03004|DNAA_ECOLI","dnaA","Chromosomal replication initiator protein DnaA",295113.134882499,349320.099513806,326225.290951768,296610.186585918,1184429.2260758,1093177.05563258,1212517.78421394,1058626.99066611,2039231.39731437,2016306.86,2030854.67033517,2073994.54996189,487718.737925081,434859.198207995,382999.642444691,367911.506654192,-2.28577851538296,1.84374801489074,4.71284190790049,7.2692407327028,"significant","significant",1,2,"3"
"52","sp|P03007|DPO3E_ECOLI","dnaQ","DNA polymerase III subunit epsilon",1479780.32923866,2412400.19449902,2841287.62178148,1530639.9756463,2134372.10572307,1232448.29629907,1857503.15891255,1182081.17727352,1786453.32003015,1530525.909,1779227.14378625,1505130.02034616,2945661.12869938,3400601.10729113,3837197.4380609,2387977.72284986,0.929319592096888,-0.367344183115458,0.461030320064874,2.36745091221752,"not significant","not significant",0,0,"0"
"53","sp|P03018|UVRD_ECOLI","uvrD","DNA helicase II",276663.623065707,281468.115604864,267691.576419755,278726.512432614,581164.630520373,611953.88185235,649756.788636103,571424.895446152,1365461.19037591,1404861.973,1457507.83552787,1392468.80988379,431545.404961439,396127.59111815,410168.475704421,398658.197503424,-1.78003378066337,1.1281465715565,4.54090981535414,7.11044994228738,"significant","significant",1,2,"3"
"54","sp|P03023|LACI_ECOLI","lacI","Lactose operon repressor",122876.602888591,120285.659349992,126817.522891403,123593.55216475,143148.030045519,128368.514952913,137434.444774258,144550.212470212,217705.546185223,215282.1924,233024.985987084,215453.457654417,162689.916153953,153568.860567667,157404.648204136,151952.477670694,-0.494628035954576,0.165321988068019,1.83059813544649,4.6326999242406,"not significant","not significant",0,0,"0"
"55","sp|P03813|YGEA_ECOLI","ygeA","Broad specificity amino-acid racemase YgeA",255330.963071953,275832.012069287,258132.114001013,278313.032683384,426272.087552943,393275.687576359,384949.081778958,441601.29229221,940062.317464484,968658.2246,846616.083188903,925295.176281687,550257.136628371,455745.506507674,504231.333492312,496892.717172039,-0.874821749074037,0.624668173607836,3.55983075960558,4.59235247409419,"not significant","not significant",0,0,"0"
"56","sp|P03841|MALM_ECOLI","malM","Maltose operon periplasmic protein",2204642.48317291,2212777.78943732,2426084.28456927,2176610.50879224,2376861.59950131,2000800.47762036,2010832.77071773,1915878.28626822,2045565.51122298,2007175.034,2208535.51305224,2090420.12908123,1635273.71938395,1581392.33953335,1664310.00206782,1595886.69122688,-0.366774058413546,-0.119274568801477,0.664195298952137,3.99433026445723,"not significant","not significant",0,0,"0"
"57","sp|P03960|KDPB_ECOLI","kdpB","Potassium-transporting ATPase ATP-binding subunit",184622.523656313,161516.970836208,158987.232475498,179900.279497336,167186.177348405,159976.457061433,167998.745423404,175070.710681257,172190.047284924,174568.1624,182615.264649051,174141.303377702,189035.675316119,220136.642965264,188446.700733451,222963.479036081,0.222067655387993,-0.0315001019122995,0.176869478914607,1.55818719095005,"not significant","not significant",0,0,"0"
"58","sp|P04036|DAPB_ECOLI","dapB","4-hydroxy-tetrahydrodipicolinate reductase",3479972.65452579,3403419.6568168,3367204.69288895,3836744.85450966,2703444.10985659,2782975.93570254,2864358.17176326,3000837.0636465,2549335.73991907,2568010.908,2406529.92740746,2553746.61438541,4524057.10713256,4565661.07174034,4333360.66121276,4622118.16737125,0.840459474943685,-0.311501814346484,2.45861153267604,6.15908164270154,"not significant","not significant",0,0,"0"
"59","sp|P04079|GUAA_ECOLI","guaA","GMP synthase [glutamine-hydrolyzing]",16535389.7372742,15913822.4601094,15231940.4739148,17059788.0083269,10775112.8088419,11621684.6612187,10876073.2153645,11738552.474073,17514654.1617054,18256094.12,18576651.8780713,18117455.2140974,7252159.2030732,7279168.4572519,6534175.42031204,6791889.89026048,-1.37922122424704,-0.52438714771715,3.67993295871215,6.80097999307399,"not significant","significant",0,2,"2"
"60","sp|P04128|FIMA1_ECOLI","fimA","Type-1 fimbrial protein, A chain",989613.223986316,607224.450889534,650974.88552192,1195079.06274812,290757.547439341,416394.881665668,286327.449454038,332817.99234806,325660.52568888,266134.8523,377505.821464278,353256.547709921,480215.558677978,381789.851903311,372476.761650329,574880.660871678,0.452151025400432,-1.37621594365117,1.76758226457626,1.16147647824236,"significant","not significant",1,0,"1"
"61","sp|P04264|K2C1_HUMAN","KRT1","Keratin, type II cytoskeletal 1",22943348.735637,25473288.6808173,18382191.0650241,14324438.9188417,12806851.5525877,9834718.76497531,14360955.1166524,13665993.0587524,32514412.2914117,9984086.055,17541809.2472062,6671247.95406181,26480285.2713668,14195593.0722952,22770545.3025282,19063053.648069,0.306623159539071,-0.679026114686741,1.37838298256062,0.242517116831753,"not significant","not significant",0,0,"0"
"62","sp|P04425|GSHB_ECOLI","gshB","Glutathione synthetase",10985184.3136941,10016409.2527948,10623299.0025749,10719203.4626081,7142815.85023819,7290927.538204,7405478.0283567,7332410.07117904,4539973.512145,4257362.799,4446606.19451621,4321204.14520352,7734502.34872907,7349845.31972157,7694068.81982489,7360919.14577841,0.778931994113934,-0.53759475655823,4.28555276508313,6.06162914592484,"not significant","not significant",0,0,"0"
"63","sp|P04693|TYRB_ECOLI","tyrB","Aromatic-amino-acid aminotransferase",2615015.85296119,2374782.04581209,2440326.67123131,2615671.82681552,2066282.19090524,2195067.88969911,2093279.57366565,2131647.90882072,3290421.13865652,3394796.079,3280621.87881459,3379413.23909682,2343983.20843392,2272243.85918448,2257529.97195969,2345299.70560147,-0.533635531722954,-0.243388169447276,2.5579939635707,6.17364989987053,"not significant","not significant",0,0,"0"
