Group,SubGroup,Protein,Protein_ID,Entry_Name,Gene,Length,Percent_Coverage,Organism,Protein_Description,Protein_Existence,Protein_Probability,Top_Peptide_Probability,Total_Peptides,Unique_Peptides,Razor_Peptides,Total_Spectral_Count,Unique_Spectral_Count,Razor_Spectral_Count,Total_Intensity,Unique_Intensity,Razor_Intensity,Razor_Assigned_Modifications,Razor_Observed_Modifications,Indistinguishable_Proteins,TMT_126,TMT_127N,TMT_127C,TMT_128N,TMT_128C,TMT_129N,TMT_129C,TMT_130N,TMT_130C,TMT_131N,TMT_131C,TMT_132N,TMT_132C,TMT_133N,TMT_133C,TMT_134
1,a,sp|A0A385XJE6|INH21_ECOLI,A0A385XJE6,INH21_ECOLI,insH21,326,8,Escherichia coli (strain K12) OX=83333,Transposase InsH for insertion sequence element IS5U ,3:Protein inferred from homology,1,0.999,3,0,3,3,0,3,40159608,0,40159608,N-term(304.2072),,"sp|P0CE49|INSH1_ECOLI, sp|P0CE50|INSH2_ECOLI, sp|P0CE51|INSH3_ECOLI, sp|P0CE52|INSH4_ECOLI, sp|P0CE53|INSH6_ECOLI, sp|P0CE54|INSH7_ECOLI, sp|P0CE55|INSH8_ECOLI, sp|P0CE56|INSH9_ECOLI, sp|P0CE57|INH10_ECOLI, sp|P0CE58|INH11_ECOLI, sp|P76071|INSH5_ECOLI",446419.3789,504778.3906,455196.6797,589033.2344,134163.0332,112079.8457,112561.4863,129701.1172,1209581.461,1383519.313,1142235.68,1375785.047,135812.623,137879.6797,125492.5459,113572.8799
12,a,sp|P00561|AK1H_ECOLI,P00561,AK1H_ECOLI,thrA,820,30.9,Escherichia coli (strain K12) OX=83333,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,1:Experimental evidence at protein level,1,0.999,22,22,22,34,34,34,122826274,122826274,122826274,"10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 18K(304.2072), 24K(304.2072), 2C(57.0215), 2M(15.9949), 8K(304.2072), 8M(15.9949), 9M(15.9949), N-term(304.2072)",,,778047.4812,811799.6672,801209.9142,922918.9734,920460.6565,861866.817,850273.6609,959291.4155,3305487.311,3905173.569,3324753.494,3831514.914,1862315.253,1643564.768,1485888.836,1461411.183
13,a,sp|P00562|AK2H_ECOLI,P00562,AK2H_ECOLI,metL,810,27.8,Escherichia coli (strain K12) OX=83333,Bifunctional aspartokinase/homoserine dehydrogenase 2 ,1:Experimental evidence at protein level,1,0.999,18,18,18,26,26,26,1080357810,1080357810,1080357810,"10K(304.2072), 11C(57.0215), 18C(57.0215), 22K(304.2072), 25K(304.2072), 3C(57.0215), 7K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)",,,941675.4304,845628.3138,882852.8666,1062508.331,677410.7104,617118.1722,649849.7812,690497.8401,4030447.738,4584275.48,3932314.388,4531659.009,1140323.813,951265.4487,923529.225,927941.3485
14,a,sp|P00579|RPOD_ECOLI,P00579,RPOD_ECOLI,rpoD,613,35.7,Escherichia coli (strain K12) OX=83333,RNA polymerase sigma factor RpoD ,1:Experimental evidence at protein level,1,0.999,22,22,22,75,75,75,320639944,320639944,320639944,"10K(304.2072), 11K(304.2072), 16K(304.2072), 1K(304.2072), 2M(15.9949), 3M(15.9949), 4K(304.2072), 5M(15.9949), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9M(15.9949), N-term(304.2072)",,,2784831.037,2758291.826,2921176.335,3322643.694,5161662.397,4018706.154,4547975.342,4632751.109,6893661.681,7708132.317,7002911.729,7465308.434,5079091.116,4448182.863,4210837.729,4107577.748
15,a,sp|P00722|BGAL_ECOLI,P00722,BGAL_ECOLI,lacZ,1024,44.9,Escherichia coli (strain K12),Beta-galactosidase ,1:Experimental evidence at protein level,1,0.999,39,39,39,130,130,130,2218191040,2218191040,2218191040,"10C(57.0215), 10K(304.2072), 11K(304.2072), 12K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16M(15.9949), 1K(304.2072), 24C(57.0215), 26M(15.9949), 3C(57.0215), 4M(15.9949), 5C(57.0215), 5M(15.9949), 7K(304.2072), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(304.2072)",,,4860632.32,4996580.654,4672664.002,6228924.862,2855372.115,2430532.439,2943929.554,2982409.312,29442701.1,34959031.69,32740745.5,34726977.69,3930967.952,3280746.663,2671707.581,2747720.505
16,a,sp|P00803|LEP_ECOLI,P00803,LEP_ECOLI,lepB,324,49.1,Escherichia coli (strain K12) OX=83333,Signal peptidase I ,1:Experimental evidence at protein level,1,0.999,17,17,17,43,43,43,357413200,357413200,357413200,"10K(304.2072), 11K(304.2072), 12K(304.2072), 14C(57.0215), 14K(304.2072), 15K(304.2072), 16K(304.2072), 18K(304.2072), 19K(304.2072), 1K(304.2072), 6K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)",,,3021319.429,2713267.972,3053928.631,3269844.977,4022583.035,3134274.775,3478631.246,3422158.43,3462715.976,3881493.105,3403278.127,3879760.975,4428976.329,4162810.087,3765436.983,3708011.056
17,a,sp|P00805|ASPG2_ECOLI,P00805,ASPG2_ECOLI,ansB,348,54.3,Escherichia coli (strain K12) OX=83333,L-asparaginase 2 ,1:Experimental evidence at protein level,1,0.999,13,13,13,35,35,35,126128338,126128338,126128338,"10K(304.2072), 11K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 16K(304.2072), 22K(304.2072), 23K(304.2072), 5M(15.9949), 7K(304.2072), N-term(304.2072)",,,1305672.82,1144211.981,1255703.341,1477724.262,1652566.69,1534728.476,1431814.657,1366188.703,839415.0657,984105.4115,864539.3895,941081.4495,1255402.533,1339834.262,1022333.749,1124751.224
18,a,sp|P00811|AMPC_ECOLI,P00811,AMPC_ECOLI,ampC,377,37.7,Escherichia coli (strain K12) OX=83333,Beta-lactamase ,1:Experimental evidence at protein level,1,0.999,12,12,12,25,25,25,49728248,49728248,49728248,"10K(304.2072), 14K(304.2072), 17K(304.2072), 1K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), N-term(304.2072)",,,899076.0132,899020.9438,976146.3667,1066887.153,1193270.651,1056937.996,1010754.734,1062396.065,767565.3953,872877.8516,820318.374,851532.7461,1000874.554,1019669.935,885702.1626,884221.8354
19,a,sp|P00861|DCDA_ECOLI,P00861,DCDA_ECOLI,lysA,420,7.9,Escherichia coli (strain K12) OX=83333,Diaminopimelate decarboxylase ,1:Experimental evidence at protein level,1,0.999,3,3,3,3,3,3,11050642,11050642,11050642,"12K(304.2072), N-term(304.2072)",,,134889.3545,96274.3052,108971.873,137301.1099,124336.4346,116033.0493,124133.2559,148563.231,97954.2744,122933.4883,109482.1377,118915.7568,163249.5273,138620.8276,129356.6523,133837.6968
20,a,sp|P00864|CAPP_ECOLI,P00864,CAPP_ECOLI,ppc,883,45.6,Escherichia coli (strain K12) OX=83333,Phosphoenolpyruvate carboxylase ,1:Experimental evidence at protein level,1,0.999,42,42,42,99,99,99,547960736,547960736,547960736,"10K(304.2072), 11K(304.2072), 11M(15.9949), 12K(304.2072), 13K(304.2072), 14C(57.0215), 15K(304.2072), 18K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 20K(304.2072), 2K(304.2072), 2M(15.9949), 3K(304.2072), 3M(15.9949), 4M(15.9949), 5K(304.2072), 5M(15.9949), 6K(304.2072), 7C(57.0215), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)",,,3407050.313,3398613.622,3615165.113,4164645.705,5824752.378,4712584.809,4885969.099,5227285.636,12830923.19,15013098.41,13317691.25,15061179.57,13019457.23,11837462.33,11132626.3,10882722.17
21,a,sp|P00883|ALDOA_RABIT,P00883,ALDOA_RABIT,ALDOA,364,13.5,Oryctolagus cuniculus,Fructose-bisphosphate aldolase A ,1:Experimental evidence at protein level,1,0.999,4,4,4,5,5,5,7913967,7913967,7913967,"20K(304.2072), 6K(304.2072), 7K(304.2072), N-term(304.2072)",,,143763.7065,136111.0767,186641.1104,154930.104,175154.0449,107264.9927,144987.5259,108113.9199,259039.5781,239554.6758,241471.5332,361316.043,192099.2539,167552.5059,176615.6055,146695.3447
22,a,sp|P00887|AROH_ECOLI,P00887,AROH_ECOLI,aroH,348,31.6,Escherichia coli (strain K12) OX=83333,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive ",1:Experimental evidence at protein level,1,0.999,9,9,9,18,18,18,70683106,70683106,70683106,"13K(304.2072), 17C(57.0215), 5K(304.2072), 7K(304.2072), 8C(57.0215), N-term(304.2072)",,,343057.3176,395653.5142,366947.6045,448257.1929,357570.8718,330170.1704,320154.2815,362375.8442,2217367.43,2841461.535,2521648.348,2798137.471,602930.0034,659842.4453,497977.4456,500840.0259
23,a,sp|P00888|AROF_ECOLI,P00888,AROF_ECOLI,aroF,356,44.7,Escherichia coli (strain K12) OX=83333,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive ",1:Experimental evidence at protein level,1,0.999,12,11,11,21,19,19,20333307,18744854,18744854,"13K(304.2072), 18K(304.2072), 1K(304.2072), 21K(304.2072), 5C(57.0215), 8C(57.0215), N-term(304.2072)",,,386895.7345,401502.4443,428045.5466,456675.5959,267108.3645,200558.6913,217833.2517,232686.8278,799268.1895,939116.6199,618178.0635,868373.8323,504234.7716,294829.9532,308926.6624,343821.4177
24,a,sp|P00895|TRPE_ECOLI,P00895,TRPE_ECOLI,trpE,520,21.7,Escherichia coli (strain K12) OX=83333,Anthranilate synthase component 1 ,1:Experimental evidence at protein level,1,0.999,12,12,12,21,21,21,45383539,45383539,45383539,"10K(304.2072), 13K(304.2072), 7K(304.2072), N-term(304.2072)",,,598674.1646,632130.7996,649009.1702,658402.2939,289182.0285,248367.4395,238281.7551,248140.1644,822727.4951,946826.5879,907840.0027,934798.1006,304141.1588,283083.98,232835.0493,217072.3696
25,a,sp|P00903|PABA_ECOLI,P00903,PABA_ECOLI,pabA,187,25.1,Escherichia coli (strain K12) OX=83333,Aminodeoxychorismate synthase component 2 ,1:Experimental evidence at protein level,1,0.999,3,3,3,4,4,4,4644855,4644855,4644855,"13K(304.2072), 16K(304.2072), 8C(57.0215), N-term(304.2072)",,,58348.0645,74623.0962,76898.3896,74566.2681,50223.9341,39194.5376,41125.8906,39342.7178,138386.8809,160490.2622,108295.8833,154007.0444,54718.3799,50591.345,38906.2822,39927.3499
26,a,sp|P00904|TRPGD_ECOLI,P00904,TRPGD_ECOLI,trpGD,531,21.3,Escherichia coli (strain K12) OX=83333,Bifunctional protein TrpGD ,1:Experimental evidence at protein level,1,0.999,6,6,6,9,9,9,66713534,66713534,66713534,"15M(15.9949), N-term(304.2072)",,,404268.8293,542097.2583,531539.8257,512209.0825,434812.2095,381780.7434,368362.2416,366331.7329,1554942.143,1781679.913,1645348.11,1664731.388,611266.449,669968.8878,629556.517,404274.3822
27,a,sp|P00909|TRPC_ECOLI,P00909,TRPC_ECOLI,trpC,453,36.4,Escherichia coli (strain K12) OX=83333,Tryptophan biosynthesis protein TrpCF ,1:Experimental evidence at protein level,1,0.999,16,15,15,22,21,21,108933932,108933932,108933932,"10K(304.2072), 11K(304.2072), 1K(304.2072), 7K(304.2072), N-term(304.2072)",,,1517982.061,1294379.259,1398885.224,1719307.297,639490.5867,542317.623,519502.2075,537319.4846,2084729.64,2451016.209,2139046.518,2411074.561,814823.0261,708502.908,611381.3196,628741.9822
28,a,sp|P00926|SDHD_ECOLI,P00926,SDHD_ECOLI,dsdA,442,26,Escherichia coli (strain K12) OX=83333,D-serine dehydratase ,1:Experimental evidence at protein level,1,0.999,9,9,9,15,15,15,53792890,53792890,53792890,"11K(304.2072), 12K(304.2072), 13K(304.2072), 1K(304.2072), 25K(304.2072), 7K(304.2072), 9C(57.0215), N-term(304.2072)",,,844562.2998,810438.3586,805782.6255,940597.0322,348678.0667,291571.7703,284633.7322,294464.5505,1355636.289,1573497.397,1477205.392,1570753.745,483475.8303,410444.0714,388321.6973,354053.7762
29,a,sp|P00935|METB_ECOLI,P00935,METB_ECOLI,metB,386,13.7,Escherichia coli (strain K12) OX=83333,Cystathionine gamma-synthase ,1:Experimental evidence at protein level,1,0.999,5,5,5,7,7,7,23460589,23460589,23460589,"7K(304.2072), 9K(304.2072), N-term(304.2072)",,,191335.0635,207970.2773,191894.1172,226569.6084,283751.7793,210435.543,225184.0234,250431.0508,307817.1875,343458.5605,266597.3594,343916.4375,437633.1738,383591.9941,374021.9492,373377.8613
30,a,sp|P00944|XYLA_ECOLI,P00944,XYLA_ECOLI,xylA,440,15.2,Escherichia coli (strain K12) OX=83333,Xylose isomerase ,3:Protein inferred from homology,1,0.999,6,6,6,7,7,7,56422702,56422702,56422702,"10K(304.2072), 16K(304.2072), 9K(304.2072), N-term(304.2072)",,,178471.4094,158440.5557,178768.2188,223992.4939,266590.0229,259908.4233,222763.7158,287137.521,383697.4023,499312.834,412789.9058,524928.5,727460.9375,727471.6753,602751.4487,729235.6631
31,a,sp|P00946|MANA_ECOLI,P00946,MANA_ECOLI,manA,391,56.8,Escherichia coli (strain K12) OX=83333,Mannose-6-phosphate isomerase ,1:Experimental evidence at protein level,1,0.999,16,16,16,52,52,52,400696240,400696240,400696240,"10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 22K(304.2072), 25K(304.2072), 27K(304.2072), 3C(57.0215), 4K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)",,,5535164.787,4900761.749,5634666.747,6525011.902,6632487.491,5755895.706,5921922.377,6720822.934,4283759.987,5171999.119,4462468.969,5140666.39,5703074.438,5628451.404,4952500.705,5171358.383
32,a,sp|P00954|SYW_ECOLI,P00954,SYW_ECOLI,trpS,334,34.1,Escherichia coli (strain K12) OX=83333,Tryptophan--tRNA ligase ,1:Experimental evidence at protein level,1,0.999,12,12,12,63,63,63,525567952,525567952,525567952,"10K(304.2072), 10M(15.9949), 11K(304.2072), 12M(15.9949), 13K(304.2072), 21M(15.9949), 2K(304.2072), 2M(15.9949), 3K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)",,,3637024.582,3412645.572,3863203.869,4105094.221,2118364.216,1738897.636,1656546.571,1596748.058,5835130.935,6621291.024,5684097.798,6485246.127,2573710.603,2176524.577,1999733.665,1925067.86
33,a,sp|P00956|SYI_ECOLI,P00956,SYI_ECOLI,ileS,938,57.1,Escherichia coli (strain K12) OX=83333,Isoleucine--tRNA ligase ,1:Experimental evidence at protein level,1,0.999,50,50,50,219,219,219,1426730016,1426730016,1426730016,"10K(304.2072), 11C(57.0215), 11K(304.2072), 12C(57.0215), 12K(304.2072), 12M(15.9949), 13K(304.2072), 14K(304.2072), 14M(15.9949), 15C(57.0215), 15K(304.2072), 15M(15.9949), 16K(304.2072), 17K(304.2072), 18K(304.2072), 1C(57.0215), 20K(304.2072), 23K(304.2072), 27K(304.2072), 2C(57.0215), 2M(15.9949), 30K(304.2072), 3K(304.2072), 4K(304.2072), 4M(15.9949), 5C(57.0215), 5M(15.9949), 7C(57.0215), 7K(304.2072), 7M(15.9949), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9M(15.9949), N-term(304.2072)",,,7207031.791,7102980.149,7338108.044,9130819.07,15690835.34,14809765.85,14502405.42,16466547.12,30275175.97,35823280.5,32137101.68,35485870.17,34787195.67,33093753.16,29667600.81,30401409.45
34,a,sp|P00957|SYA_ECOLI,P00957,SYA_ECOLI,alaS,876,57.4,Escherichia coli (strain K12) OX=83333,Alanine--tRNA ligase ,1:Experimental evidence at protein level,1,0.999,47,47,47,205,205,205,969440768,969440768,969440768,"10K(304.2072), 11K(304.2072), 11M(15.9949), 12K(304.2072), 12M(15.9949), 13K(304.2072), 13M(15.9949), 14K(304.2072), 15K(304.2072), 16C(57.0215), 16K(304.2072), 17K(304.2072), 18M(15.9949), 26K(304.2072), 2C(57.0215), 2M(15.9949), 3K(304.2072), 3M(15.9949), 4M(15.9949), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)",,,12725332.92,11716348.66,12640883.45,14404796.83,10066106.8,8600730.975,8961570.478,9446359.035,17019662.22,20104126.37,17735480.2,19550372.41,12480898.82,11624102.21,10290422.19,10509960.1
35,a,sp|P00959|SYM_ECOLI,P00959,SYM_ECOLI,metG,677,55.7,Escherichia coli (strain K12) OX=83333,Methionine--tRNA ligase ,1:Experimental evidence at protein level,1,0.999,36,36,36,105,105,105,452277376,452277376,452277376,"10K(304.2072), 10M(15.9949), 11C(57.0215), 11K(304.2072), 12C(57.0215), 12K(304.2072), 13K(304.2072), 14C(57.0215), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 1C(57.0215), 1K(304.2072), 20K(304.2072), 22K(304.2072), 25K(304.2072), 27K(304.2072), 2K(304.2072), 2M(15.9949), 3M(15.9949), 7K(304.2072), 7M(15.9949), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)",,,5636356.353,5458187.688,5561631.476,6682780.796,3518918.354,3037699.113,3178131.549,3337799.838,13313279.22,15758804.17,13551227.35,15422578.38,4804463.829,4374818.595,3736685.105,3789581.438
36,a,sp|P00960|SYGA_ECOLI,P00960,SYGA_ECOLI,glyQ,303,37.6,Escherichia coli (strain K12) OX=83333,Glycine--tRNA ligase alpha subunit ,1:Experimental evidence at protein level,1,0.999,10,10,10,23,23,23,175414488,175414488,175414488,"10K(304.2072), 11M(15.9949), 1K(304.2072), 23C(57.0215), 3C(57.0215), 4M(15.9949), 7M(15.9949), 8C(57.0215), N-term(304.2072)",,,1241515.547,1182667.42,1228069.12,1400852.67,765245.1298,634401.6277,651292.2571,662590.0854,3109037.336,3481564.958,3142438.721,3371505.324,888894.511,732216.8652,691204.4762,682521.7715
37,a,sp|P00961|SYGB_ECOLI,P00961,SYGB_ECOLI,glyS,689,55,Escherichia coli (strain K12) OX=83333,Glycine--tRNA ligase beta subunit ,1:Experimental evidence at protein level,1,0.999,41,41,41,150,150,150,1747468352,1747468352,1747468352,"10K(304.2072), 11K(304.2072), 11M(15.9949), 13C(57.0215), 13K(304.2072), 13M(15.9949), 14K(304.2072), 14M(15.9949), 15K(304.2072), 16K(304.2072), 17K(304.2072), 18K(304.2072), 20K(304.2072), 21K(304.2072), 2C(57.0215), 2K(304.2072), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)",,,32744475.2,28960190.81,31155067.39,36388650.14,10607042.21,9152033.041,8894901.818,9400555.21,43682833.03,51642926.66,46571123.6,50215911.98,13793825.44,12944076.35,10570526.26,10784345.06
